,vazao_sem_coleta_sem_tratamentodividido por hab,vazao_solucao_individualdividido por hab,vazao_com_coleta_sem_tratamentodividido por hab,vazao_com_coleta_com_tratamentodividido por hab,vazao_totaldividido por hab,carga_gerada_sem_coleta_sem_tratamentodividido por hab,carga_gerada_encaminhada_solucao_individualdividido por hab,carga_gerada_com_coleta_sem_tratamentodividido por hab,carga_gerada_com_coleta_com_tratamentodividido por hab,carga_gerada_totaldividido por hab,carga_lancada_sem_coleta_sem_tratamentodividido por hab,carga_lancada_proveniente_solucao_individualdividido por hab,carga_lancada_com_coleta_sem_tratamentodividido por hab,carga_lancada_com_coleta_com_tratamentodividido por hab,carga_lancada_totaldividido por hab,investimento_coletadividido por hab,investimento_tratamentodividido por hab,investimento_coleta_tratatamentodividido por hab
5056,0.001446945337620579,0.0,0.0,0.0,0.001446945337620579,0.05257234726688104,0.0,0.001446945337620579,0.0,0.05401929260450161,0.05257234726688104,0.0,0.001446945337620579,0.0,0.05401929260450161,3399.9148048070742,496.04478643569126,3895.959591237942
5057,0.0011532452776594235,0.0006675188183496662,0.0,0.0014202528049992898,0.0032410169010083792,0.019213179946030393,0.011126260474364437,0.0,0.02366141173128817,0.054000852151682995,0.019213179946030393,0.004451072290867774,0.0,0.01230222979690385,0.03596648203380202,749.9754908791365,506.1919734980827,1256.1674643772192
5058,0.002389396626199245,0.0023462010639749013,0.0,0.0008275360341926976,0.005563133724366844,0.023196016914472786,0.022773155094802894,0.0,0.008032101123084619,0.053998999681716904,0.023196016914472786,0.009109716728049834,0.0,0.0008025280771154458,0.033108261719638064,1199.332732010185,305.3620468444505,1504.6947788546356
5059,0.0009836065573770492,0.0,0.0,0.0,0.001092896174863388,0.05147540983606558,0.0025136612021857923,0.0,0.0,0.05398907103825137,0.05147540983606558,0.0009836065573770492,0.0,0.0,0.05245901639344262,1772.92937263388,255.3464316568306,2028.275804295082
5060,9.596928982725528e-05,0.001055662188099808,0.0,0.0,0.0011516314779270633,0.0036468330134357004,0.04932821497120921,0.001055662188099808,0.0,0.05403071017274472,0.0036468330134357004,0.019769673704414587,0.001055662188099808,0.0,0.024376199616122838,1935.103692955854,283.16320468138196,2218.2668976391556
5061,0.0005851672815163465,0.00039435186363058136,0.0003689098079124793,0.0,0.0013357079252003562,0.02339397023279481,0.01595216893524997,0.014667345121485816,0.0,0.054000763261671546,0.02339397023279481,0.006373234957384557,0.014667345121485816,0.0,0.04443455031166518,1040.856302252894,349.68624619895684,1390.5425484543953
5062,9.545888449474976e-05,0.0009273148779489976,0.00025455702531933266,0.0,0.0012818764489294968,0.004118369016773489,0.039056320741851905,0.010823219237238056,0.0,0.05399790899586345,0.004118369016773489,0.015623437428974044,0.010823219237238056,0.0,0.03056502568298559,986.2863518387201,422.22450970953224,1408.5108615482523
5063,0.0010379915119905917,0.0001585110190724549,7.158562151659252e-05,0.0,0.0012680881525796391,0.04416832847573759,0.006744388198598968,0.0030884082425729916,0.0,0.05400112491690954,0.04416832847573759,0.0026998005829114895,0.0030884082425729916,0.0,0.04995142404254231,1076.1603846090914,266.2153258147978,1342.3757104259346
5064,0.0020512820512820513,0.0,0.0,0.0,0.002307692307692308,0.052820512820512824,0.0005128205128205128,0.0,0.0007692307692307692,0.05410256410256411,0.052820512820512824,0.0002564102564102564,0.0,0.0007692307692307692,0.05384615384615385,5125.495445205128,537.2704629641025,5662.765908153846
5065,0.000560485754320411,0.0003736571695469407,4.670714619336759e-05,0.0,0.0009808500700607193,0.03101354507239608,0.020037365716954695,0.0029425502101821576,0.0,0.05399346099953293,0.03101354507239608,0.008033629145259224,0.0029425502101821576,0.0,0.04198972442783746,1469.0548189257356,223.96219099252687,1693.017009920598
5066,0.0006068023048289226,0.00042833103870276886,0.0001019835806435164,0.0,0.0011371169241752078,0.02888684921727602,0.020253939115802356,0.004859517617663556,0.0,0.05400030595074193,0.02888684921727602,0.008102595482127379,0.004859517617663556,0.0,0.04184896231706695,1008.553112477691,229.0531371837234,1237.6062496609045
5067,0.0006360897221292266,0.00033478406427854036,3.347840642785404e-05,0.0,0.000970873786407767,0.034482758620689655,0.017609641781051222,0.00190826916638768,0.0,0.05400066956812856,0.034482758620689655,0.007030465349849347,0.00190826916638768,0.0,0.04345497154335454,1688.3024870706395,337.8790830699699,2026.1815701406094
5068,0.0005864938837066414,0.0004747807630006144,0.0006982070044126683,0.0,0.0017538959950846227,0.017996983745740935,0.014567390940065912,0.021437747863486567,0.0,0.05400212254929341,0.017996983745740935,0.005825839244819304,0.021437747863486567,0.0,0.045260570854046805,978.508659839133,290.0126120745127,1268.5212719097358
5069,0.001067702014074254,7.279786459597184e-05,0.0,0.0,0.0011404998786702257,0.050254792526085904,0.003203106042222761,0.000533851007037127,0.0,0.05399174957534579,0.050254792526085904,0.0012860956078621694,0.000533851007037127,0.0,0.0520747391409852,1464.204118231012,213.09561124872604,1677.2997294807085
5070,0.0010504201680672268,7.00280112044818e-05,0.0,0.0,0.0011204481792717088,0.05028011204481792,0.0024509803921568627,0.0,0.001330532212885154,0.05399159663865546,0.05028011204481792,0.000980392156862745,0.0,0.001330532212885154,0.052521008403361345,1557.410302457983,229.80226368767507,1787.2125661484595
5071,0.0,0.0008316008316008316,0.0002079002079002079,0.0,0.0012474012474012473,0.004365904365904366,0.04137214137214137,0.008316008316008316,0.0,0.05405405405405406,0.004365904365904366,0.016632016632016633,0.008316008316008316,0.0,0.029106029106029108,1684.858836968815,277.5204098607068,1962.3792468295217
5072,0.0004932378679395386,4.242906390877752e-05,0.000535666931848316,0.0,0.001071333863696632,0.024905860514452403,0.0020684168655529037,0.027022010076902678,0.0,0.054001591089896585,0.024905860514452403,0.0008273667462211615,0.027022010076902678,0.0,0.05275523733757624,566.7677656165473,271.73266239087775,838.5004280084859
5073,3.394433129667346e-05,0.0010522742701968772,6.788866259334691e-05,6.788866259334691e-05,0.0011880515953835709,0.001120162932790224,0.0473183978275628,0.0027494908350305497,0.002817379497623897,0.05400543109300746,0.001120162932790224,0.018940936863543787,0.0027494908350305497,0.002817379497623897,0.02562797012898846,1719.022335736592,271.14732804921925,1990.1696637881873
